weather,humidity,local_pressure,visibility,wind_direction,wind_speed,temperature
Clouds,88,1012,10000,200,7.2000,20
Clouds,36,1010,10000,61,1.1000,20
Rain,88,1009,10000,60,10.8000,20
Clear,55,1015,10000,270,3.1000,16
Clouds,57,1016,10000,50,5.7000,27
Clear,78,1007,10000,200,7.7000,27
Clouds,83,1017,16093,60,2.6000,23
Clouds,86,1011,10000,182,4.8000,24
Clouds,78,1015,16093,320,1.5000,25
Clouds,78,1013,10000,190,7.7000,23
Rain,94,1006,3500,210,3.6000,20
Clear,78,1005,10000,85,1.6000,29
Mist,94,1004,10000,0,1.0000,21
Mist,94,1003,10000,140,1.5000,24
Mist,94,1006,9000,40,3.1000,24
Clouds,62,997,10000,210,9.3000,27
Clouds,74,998,10000,180,7.2000,26
Clouds,91,1010,10000,336,1.6000,25
Mist,100,1004,6000,80,0.5000,24
Clouds,83,1015,10000,40,3.6000,20
Clouds,88,1006,10000,65,2.4000,22
Rain,94,1009,10000,0,1.0000,25
Clouds,83,1015,10000,50,6.2000,21
Clouds,67,1006,10000,30,3.0000,26
Clouds,78,1012,10000,20,5.1000,28
Clouds,82,1009,10000,34,0.8000,26
Rain,75,1013,10000,142,1.9000,24
Clouds,30,1002,10000,312,4.6000,28
Clouds,55,1003,10000,170,5.1000,33
Rain,88,1004,10000,70,8.2000,26
Clouds,30,999,10000,177,3.6000,25
Clouds,100,1005,10000,130,1.5000,25
Mist,94,1011,10000,0,1.0000,22
Clouds,78,1006,10000,180,5.7000,29
Rain,69,1001,10000,178,1.0000,30
Rain,94,1012,10000,140,4.1000,25
Clouds,83,1014,10000,180,3.6000,24
Clouds,83,1015,10000,70,6.7000,23
Rain,24,1003,10000,102,4.1000,29
Clouds,94,1012,10000,140,2.6000,23
Clouds,77,1014,10000,30,5.1000,20
Clouds,65,988,10000,220,7.7000,25
Clouds,73,1017,16093,0,1.5000,25
Rain,79,1008,10000,60,1.5000,29
Clouds,55,1000,10000,230,8.7000,28
Rain,91,1005,10000,161,2.9000,28
Clear,30,997,10000,154,4.6000,29
Clouds,94,1007,10000,90,2.6000,28
Clouds,58,1012,10000,180,5.7000,32
Clouds,78,1010,10000,47,0.5000,26
Rain,66,1007,10000,170,5.7000,30
Clouds,85,1033,10000,26,4.0000,14
Clouds,100,1024,10000,31,5.5000,16
Clouds,87,1028,10000,46,2.3000,16
Rain,98,1014,10000,195,5.7000,19
Rain,88,1023,16093,200,1.5000,18
Clouds,82,1019,10000,0,0.5000,17
Rain,82,1017,10000,70,4.1000,19
Clear,60,1025,10000,40,5.0000,18
Clear,82,1017,10000,40,4.6000,15
Rain,78,998,10000,200,12.3000,24
Rain,86,1022,10000,213,7.9000,17
Clouds,85,1021,10000,203,7.3000,19
Rain,93,1011,6437,0,0.5000,15
Clear,65,1028,10000,54,4.3000,21
Rain,100,1004,10000,60,8.2000,14
Clear,68,1018,10000,190,7.2000,19
Clear,70,1032,10000,16,4.3000,21
Clear,30,1009,10000,320,9.8000,13
Clouds,35,1004,10000,17,2.6000,23
Clouds,83,1011,10000,170,5.7000,28
Clouds,69,1013,10000,110,6.7000,27
Clouds,40,1000,10000,130,3.6000,25
Clear,35,1013,10000,160,4.1000,30
Clouds,83,1014,8000,180,8.2000,22
Clouds,44,999,10000,135,3.0000,23
Mist,88,1014,8047,80,0.5000,23
Clouds,30,1000,10000,145,4.6000,27
Rain,94,996,3500,200,12.3000,23
Rain,95,1007,10000,255,2.4000,21
Mist,94,1017,4828,73,1.9000,22
Clouds,70,1011,10000,120,4.1000,29
Clear,88,1008,10000,150,3.6000,27
Mist,94,1006,6437,215,1.6000,20
Rain,78,992,10000,315,6.1000,19
Rain,93,1005,10000,93,2.2000,24
